Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
Winstrike,Cyber Legacy,9,16,5,16,0,0,Cyber Legacy
100PG,Valhalla,8,16,16,6,6,16,Valhalla
Saints,AGO,16,11,13,16,13,16,AGO
Movistar Riders,x6tence,6,16,16,10,16,12,Movistar Riders
NAVI Junior,Lilmix,16,10,9,16,19,17,NAVI Junior
FURIA,Liquid,13,16,16,6,16,9,FURIA
ROYALS,Valhalla,16,14,7,16,14,16,Valhalla
ECLOT,100PG,15,19,7,16,0,0,100PG
Espada,NAVI Junior,16,14,16,11,0,0,Espada
Infinity,Supremacy,16,8,8,16,16,12,Infinity
STMN,Estral,6,16,13,16,0,0,Estral
Complexity,Cloud9,16,13,8,16,14,16,Cloud9
1WIN,Cyber Legacy,13,16,11,16,0,0,Cyber Legacy
Gambit,AGF,19,17,16,13,0,0,Gambit
Wizards,x6tence,10,16,7,16,0,0,x6tence
EAGLES,4glory,10,16,13,16,0,0,4glory
ALTERNATE aTTaX,BIG,10,16,9,16,0,0,BIG
BLINK,lvlUP,6,16,10,16,0,0,lvlUP
Winstrike,GamerLegion,12,16,16,13,16,14,Winstrike
Movistar Riders,Real Betis,16,11,16,2,0,0,Movistar Riders
Spirit,Illuminar,16,12,16,9,0,0,Spirit
MIBR,Liquid,11,16,2,16,0,0,Liquid
4glory,lvlUP,8,16,14,16,0,0,lvlUP
Sprout,Unicorns of Love,16,4,16,7,0,0,Sprout
Lilmix,FATE,16,9,16,9,0,0,Lilmix
EAGLES,BLINK,9,16,5,16,0,0,BLINK
NAVI Junior,AGO,8,16,16,11,16,11,NAVI Junior
BOOM,Imperial,16,8,16,5,0,0,BOOM
Illuminar,Nemiga,19,15,11,16,16,14,Illuminar
mousesports,Heroic,14,16,16,7,16,8,mousesports
Cyber Legacy,100PG,12,16,16,13,19,15,Cyber Legacy
BIG,Unicorns of Love,16,6,16,5,0,0,BIG
AVEZ,1WIN,13,16,3,16,0,0,1WIN
Virtus.pro,FURIA,6,16,16,13,9,16,FURIA
AGF,Apeks,16,9,19,16,0,0,AGF
GamerLegion,onlinerss,16,12,16,5,0,0,GamerLegion
Winstrike,Project Eversio,16,6,16,9,0,0,Winstrike
Sprout,ALTERNATE aTTaX,8,16,10,16,0,0,ALTERNATE aTTaX
FATE,Marlian,16,13,19,17,0,0,FATE
SG.pro,Lilmix,17,19,11,16,0,0,Lilmix
Gambit,Nemiga,16,8,16,10,0,0,Gambit
SKADE,SJ,4,16,12,16,0,0,SJ
Project X,AGO,13,16,12,16,0,0,AGO
Giants,NAVI Junior,15,19,6,16,0,0,NAVI Junior
Spirit,Apeks,16,5,16,14,0,0,Spirit
Heroic,Endpoint,11,16,16,8,16,12,Heroic
Illuminar,KOVA,19,17,16,9,0,0,Illuminar
Unicorns of Love,ttc,12,16,16,7,16,9,Unicorns of Love
flowskola,AGF,2,16,14,16,0,0,AGF
Liquid,MAD Lions,12,16,16,14,16,13,Liquid
Apeks,AGF,6,16,16,10,19,17,Apeks
Izako Boars,Giants,14,16,16,2,16,12,Izako Boars
Nemiga,KOVA,22,19,16,10,0,0,Nemiga
