Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
Virtus.pro,Tricked,7,16,9,16,0,0,Tricked
Unique,Nemiga,11,16,16,8,7,16,Nemiga
NAVI Junior,Winstrike,8,16,20,22,0,0,Winstrike
ViCi,MVP PK,16,9,1,0,0,0,ViCi
Complexity,eUnited,10,16,16,9,16,10,Complexity
Evil Geniuses,Cloud9,16,10,16,13,0,0,Evil Geniuses
Sinisters,Quad,16,13,14,16,16,10,Sinisters
Heroic,Sprout,4,16,16,8,16,14,Heroic
Ben's Anime Team,INTZ,17,19,5,16,0,0,INTZ
Riot Squad,The Quest,13,16,10,16,0,0,The Quest
Furious,Hawks,10,16,9,16,0,0,Hawks
Fylkir,DUSTY,9,16,13,16,0,0,DUSTY
eUnited,INTZ,13,16,16,8,11,16,INTZ
OG GANG SQUAD	,Syman,7,16,8,16,0,0,Syman
OFFSET,eXploit,16,5,16,10,0,0,OFFSET
Vitality,NIP,6,16,7,16,0,0,NIP
Complexity,The Quest,14,16,14,16,0,0,The Quest
Sharks,Ben's Anime Team,4,16,9,16,0,0,Ben's Anime Team
ATK,Riot Squad,10,16,7,16,0,0,Riot Squad
Heretics,Illuminar,16,12,16,8,0,0,Heretics
Syman,Se7en,22,19,16,14,0,0,Syman
OG GANG SQUAD	,Winstrike,11,16,6,16,0,0,Winstrike
eXploit,GTZ Bulls,8,16,16,10,16,11,eXploit
Illuminar,Virtus.pro,16,13,11,16,16,5,Illuminar
Paradox,really weird,12,16,16,12,14,16,really weird
Fierce,BuzzKill,16,11,5,16,14,16,BuzzKill
Se7en,Winstrike,4,16,16,14,16,19,Winstrike
Syman,OG GANG SQUAD	,12,16,16,12,13,16,OG GANG SQUAD	
OFFSET,HD,16,8,16,11,0,0,OFFSET
OneThree,Invictus,9,16,8,16,0,0,Invictus
Chiefs,ORDER,7,16,16,12,13,16,ORDER
BuzzKill,The Last Resort,16,5,16,3,0,0,BuzzKill
ViCi,EHOME,17,19,5,16,0,0,EHOME
Cloud9,eUnited,16,7,10,16,12,16,eUnited
Evil Geniuses,Complexity,16,7,10,16,16,11,Evil Geniuses
Vitality,Heroic,14,16,16,13,16,13,Vitality
SMASH,Heretics,16,7,9,16,22,20,SMASH
The Last Resort,Peak,16,11,16,8,0,0,The Last Resort
NIP,Sprout,16,13,4,16,16,14,NIP
Fierce,BuzzKill,22,20,16,12,0,0,Fierce
Winstrike,Syman,11,16,5,16,0,0,Syman
SMASH,HAVU,16,7,16,2,0,0,SMASH
NAVI Junior,HellRaisers,16,7,9,16,19,17,NAVI Junior
Invictus,Thirteen,13,16,16,6,16,3,Invictus
Aristocracy,HAVU,13,16,12,16,0,0,HAVU
OneThree,Rstar,16,3,16,4,0,0,OneThree
ORDER,really weird,16,6,16,3,0,0,ORDER
EHOME,Lynn Vision,16,7,16,14,0,0,EHOME
ikarus,MVP PK,1,16,15,19,0,0,MVP PK
Chiefs,Paradox,16,7,16,7,0,0,Chiefs
ViCi,Aster,16,5,16,7,0,0,ViCi
Cloud9,Complexity,13,16,16,5,11,16,Complexity
taloo,MVP PK,8,16,6,16,0,0,MVP PK
ikarus,Entry,16,9,16,7,0,0,ikarus
Evil Geniuses,eUnited,6,16,16,12,16,9,Evil Geniuses
Virtus.pro,SMASH,16,13,8,16,14,16,SMASH
NIP,Heroic,7,16,12,16,0,0,Heroic
Evidence,Imperial,5,16,8,16,0,0,Imperial
Vitality,Sprout,16,12,12,16,16,9,Vitality
Illuminar,Heretics,10,16,22,19,11,16,Heretics
Virtus.pro,Movistar Riders,16,4,10,16,19,15,Virtus.pro
HAVU,Phoenix,16,9,7,16,16,8,HAVU
HellRaisers,Syman,11,16,10,16,0,0,Syman
Aristocracy,SMASH,11,16,14,16,0,0,SMASH
ORDER,Paradox,16,4,16,1,0,0,ORDER
Chiefs,really weird,16,13,16,6,0,0,Chiefs
Envy,Swole Patrol,16,6,16,8,0,0,Envy
Grayhound,AVANT,16,7,16,8,0,0,Grayhound
MIBR,FURIA,5,16,16,11,14,16,FURIA
BIG,OpTic,16,13,19,15,0,0,BIG
Syman,Heretics,16,14,16,11,0,0,Syman
FaZe,mousesports,17,19,12,16,0,0,mousesports
PACT,Phoenix,17,19,13,16,0,0,Phoenix
Tricked,Winstrike,14,16,7,16,0,0,Winstrike
HAVU,Unique,16,9,16,13,0,0,HAVU
AVANT,Ground Zero,16,1,16,9,0,0,AVANT
Paradox,Genuine,3,16,3,16,0,0,Genuine
Grayhound,catman,16,13,16,7,0,0,Grayhound
FURIA,Envy,16,9,14,16,14,16,Envy
MIBR,Swole Patrol,16,9,16,6,0,0,MIBR
mousesports,OpTic,19,15,16,7,0,0,mousesports
Virtus.pro,Ancient,16,11,11,16,16,11,Virtus.pro
Heretics,Espada,16,5,7,16,10,16,Espada
FaZe,BIG,16,11,14,16,16,8,FaZe
Copenhagen Flames,Phoenix,8,16,10,16,0,0,Phoenix
Aristocracy,Unique,8,16,16,9,16,11,Aristocracy
Grayhound,Ground Zero,16,13,16,8,0,0,Grayhound
AVANT,catman,16,13,16,4,0,0,AVANT
FURIA,Swole Patrol,16,12,16,13,0,0,FURIA
MIBR,Envy,16,5,16,12,0,0,MIBR
FaZe,OpTic,16,12,16,11,0,0,FaZe
Aristocracy,Winstrike,3,16,16,10,16,14,Aristocracy
mousesports,BIG,16,13,7,16,16,12,mousesports
Copenhagen Flames,GamerLegion,8,16,16,9,10,16,GamerLegion
PACT,SMASH,3,16,11,16,0,0,SMASH
SKADE,HAVU,7,16,3,16,0,0,HAVU
Ground Zero,catman,16,8,9,16,8,16,catman
Winstrike,NAVI Junior,16,6,16,12,0,0,Winstrike
Sprout,ex-Epsilon,16,12,19,22,16,8,Sprout
HellRaisers,SMASH,11,16,10,16,0,0,SMASH
Nemiga,DreamEaters,16,10,17,19,16,12,Nemiga
HAVU,SMASH,13,16,10,16,0,0,SMASH
Malvinas,Furious,13,16,16,11,16,8,Malvinas
Tricked,ex-Epsilon,16,6,16,6,0,0,Tricked
Aristocracy,Sprout,11,16,16,7,10,16,Sprout
fnatic,Vitality,14,16,19,16,16,13,fnatic
Heroic,Tricked,25,23,16,6,0,0,Heroic
Dracarys,DreamEaters,16,6,6,16,9,16,DreamEaters
Lucid Dream,Maple,11,16,19,16,16,5,Lucid Dream
GTV.Revolution,SHIFT,16,10,16,7,0,0,GTV.Revolution
PACT,SKADE,16,12,16,12,0,0,PACT
Mazaalai,AUGUST,5,16,2,16,0,0,AUGUST
Maple,Beyond,9,16,16,9,16,3,Maple
LaZe,BOOT,28,25,9,16,15,19,BOOT
AUGUST,D13,16,7,16,7,0,0,AUGUST
Darkhorse,FrostFire,11,16,12,16,0,0,FrostFire
Mazaalai,2990,16,13,16,11,0,0,Mazaalai
Syntax,BTRG,3,16,3,16,0,0,BTRG
Lucid Dream,Alpha Red,16,7,16,9,0,0,Lucid Dream
BTRG,nxl,16,5,16,13,0,0,BTRG
Syntax,VICTIM,19,16,16,14,0,0,Syntax
FrostFire,Orange,19,17,13,16,16,11,FrostFire
Darkhorse,30.6,15,19,16,13,16,6,Darkhorse
Rulez,Black Label Society,16,6,16,10,0,0,Rulez
Furious,Hawks,16,10,16,2,0,0,Furious
Sprout,Tricked,19,16,13,16,6,16,Tricked
Syman,OneWay,16,14,19,16,0,0,Syman
Gambit Youngsters,Nemiga,16,7,16,12,0,0,Gambit Youngsters
Natus Vincere,Vitality,16,6,4,16,11,16,Vitality
ex-Epsilon,Sprout,8,16,16,10,16,7,ex-Epsilon
Heretics,Movistar Riders,10,16,16,6,16,14,Heretics
Heroic,pro100,16,7,16,8,0,0,Heroic
Entity,Global,16,8,11,16,16,7,Entity
Astralis,fnatic,9,16,23,25,0,0,fnatic
Tricked,Aristocracy,16,9,16,12,0,0,Tricked
Unique,Copenhagen Flames,10,16,16,14,16,10,Unique
Epsilon,Game Fist,16,11,16,5,0,0,Epsilon
BOOT,JavsrieN,16,7,16,3,0,0,BOOT
Cataclysm,SHIFT,9,16,10,16,0,0,SHIFT
Sub:stance,LaZe,5,16,8,16,0,0,LaZe
Alpha Red,2Be Continued,16,13,16,5,0,0,Alpha Red
DivisionX,GTV.Revolution,16,6,14,16,11,16,GTV.Revolution
Beyond,Astro,16,11,6,16,16,10,Beyond
Evidence,Redemption POA,16,6,11,16,16,12,Evidence
Infinity,Rulez,16,8,16,1,0,0,Infinity
Furious,Quad,19,16,19,16,0,0,Furious
Malvinas,Hawks,16,14,16,10,0,0,Malvinas
Tricked,Aristocracy,1,0,17,19,16,11,Tricked
Vitality,mousesports,16,14,12,16,16,13,Vitality
Nemiga,Dracarys,10,16,16,8,16,12,Nemiga
Movistar Riders,Aristocracy,15,19,16,11,13,16,Aristocracy
BIG,Sprout,16,13,13,16,13,16,Sprout
fnatic,NIP,16,12,8,16,16,9,fnatic
Gambit Youngsters,DreamEaters,16,12,16,11,0,0,Gambit Youngsters
Ancient,Giants,16,9,11,16,14,16,Giants
Unique,pro100,16,6,16,9,0,0,Unique
Aristocracy,Phoenix,16,12,16,9,0,0,Aristocracy
Fallen5,Bren,12,16,6,16,0,0,Bren
Imperial,Reapers,16,4,16,9,0,0,Imperial
ATK,Sharks,16,12,16,7,0,0,ATK
Giants,SJ,16,11,13,16,16,6,Giants
Virtus.pro,Heroic,14,16,26,28,0,0,Heroic
Syman,pro100,8,16,7,16,0,0,pro100
Grayhound,mousesports,2,16,16,11,5,16,mousesports
GamerLegion,Windigo,14,16,16,10,12,16,Windigo
Natus Vincere,NIP,16,8,16,13,0,0,Natus Vincere
ex-Epsilon,Nordavind,16,9,16,14,0,0,ex-Epsilon
Heroic,Nemiga,19,17,16,9,0,0,Heroic
FURIA,fnatic,32,34,5,16,0,0,fnatic
Astralis,Vitality,16,5,16,14,0,0,Astralis
Copenhagen Flames,Vainox,13,16,16,6,16,6,Copenhagen Flames
Airborne,Paradox,14,16,16,7,19,17,Airborne
5POWER,Let's Quit,16,2,16,3,0,0,5POWER
mousesports,OpTic,16,10,16,13,0,0,mousesports
Liquid,Grayhound,13,16,10,16,0,0,Grayhound
Let's Quit,Arks,16,9,16,11,0,0,Let's Quit
Genuine,Ground Zero,16,9,16,14,0,0,Genuine
5POWER,EHOME,16,19,16,14,16,14,5POWER
Sharks,Cloud9,3,16,16,9,16,8,Sharks
Syman,Movistar Riders,9,16,16,11,3,16,Movistar Riders
Heroic,AVANGAR,19,16,19,17,0,0,Heroic
pro100,forZe,11,16,16,4,4,16,forZe
Grayhound,NIP,14,16,8,16,0,0,NIP
Espada,Unique,16,11,11,16,6,16,Unique
G2,fnatic,4,16,5,16,0,0,fnatic
FURIA,ENCE,16,13,16,9,0,0,FURIA
Natus Vincere,OpTic,16,8,16,12,0,0,Natus Vincere
Copenhagen Flames,GamerLegion,5,16,9,16,0,0,GamerLegion
North,Liquid,16,14,10,16,6,16,Liquid
Evil Geniuses,mousesports,10,16,20,22,0,0,mousesports
MIBR,ATK,16,9,11,16,8,16,ATK
fnatic,TYLOO,13,16,16,2,16,10,fnatic
ENCE,Vitality,14,16,16,11,10,16,Vitality
Tricked,Virtus.pro,9,16,11,16,0,0,Virtus.pro
Windigo,Vainox,16,4,16,4,0,0,Windigo
Envy,FURIA,8,16,16,10,9,16,FURIA
Nemiga,GamerLegion,8,16,16,14,16,12,Nemiga
SJ,Syman,5,16,10,16,0,0,Syman
Unique,forZe,16,11,12,16,6,16,forZe
Astralis,G2,19,16,16,7,0,0,Astralis
Tricked,Windigo,14,16,5,16,0,0,Windigo
Espada,pro100,11,16,16,13,12,16,pro100
SJ,OneThree,16,8,16,3,0,0,SJ
OneThree,SKADE,16,10,16,8,0,0,OneThree
Singularity,Cloud9,13,16,16,7,7,16,Cloud9
Sharks,The Quest,16,2,16,11,0,0,Sharks
INTZ,ATK,11,16,14,16,0,0,ATK
MIBR,ex-Luminosity,16,10,16,5,0,0,MIBR
m1x,AVANGAR,19,16,12,16,12,16,AVANGAR
Heroic,BIG,16,13,16,10,0,0,Heroic
Syman,Nordavind,6,16,16,10,16,2,Syman
Virtus.pro,Espada,16,14,9,16,16,4,Virtus.pro
Tricked,Se7en,16,12,16,11,0,0,Tricked
Nemiga,Nordavind,5,16,9,16,0,0,Nordavind
SJ,OneThree,16,3,1,16,16,4,SJ
SKADE,Se7en,16,3,13,16,16,5,SKADE
Unique,SJ,16,11,16,11,0,0,Unique
Invictus,EHOME,16,9,16,5,0,0,Invictus
Sprout,Movistar Riders,16,9,8,16,22,20,Sprout
Syman,SJ,12,16,13,16,0,0,SJ
pro100,Movistar Riders,16,13,11,16,16,5,pro100
Izako Boars,Unique,16,12,16,8,0,0,Izako Boars
Se7en,SJ,4,16,4,16,0,0,SJ
Se7en,PACT,7,16,34,32,18,22,PACT
Sinister5,Goliath,11,16,9,16,0,0,Goliath
Royalty,OneWay,7,16,12,16,0,0,OneWay
BOOM,BTRG,2,16,12,16,0,0,BTRG
OneThree,SKADE,16,11,9,16,16,4,OneThree
Goliath,Energy,12,16,16,13,16,10,Goliath
Energy,Big 5,16,19,16,13,16,8,Energy
Alpha Red,Beyond,16,7,16,8,0,0,Alpha Red
BOOT,LaZe,10,16,16,10,16,10,BOOT
Bren,Fallen5,16,7,16,12,0,0,Bren
Maple,Beyond,9,16,16,9,11,16,Beyond
Chiefs,ORDER,7,16,5,16,0,0,ORDER
Alpha Red,Xavier,16,6,16,7,0,0,Alpha Red
PeppaPigs,LaZe,19,22,16,19,0,0,LaZe
SEDNA,Fallen5,12,16,6,16,0,0,Fallen5
BOOT,JavsrieN,16,7,16,13,0,0,BOOT
Bren,ENCHANT POISON,16,1,16,3,0,0,Bren
Evil Geniuses,G2,16,8,16,7,0,0,Evil Geniuses
Heretics,Sprout,16,3,10,16,13,16,Sprout
Liquid,Astralis,9,16,16,9,13,16,Astralis
PACT,Unique,16,9,12,16,3,16,Unique
Asterion,One One,16,5,16,5,0,0,Asterion
Sprout,Movistar Riders,13,16,19,16,13,16,Movistar Riders
Yalla,Demise,6,16,8,16,0,0,Demise
Yalla,Divine Vendetta,16,14,16,14,0,0,Yalla
Se7en,SKADE,16,19,20,22,0,0,SKADE
Heretics,pro100,11,16,19,17,12,16,pro100
Izako Boars,ECLOT,16,7,16,8,0,0,Izako Boars
SJ,adwokacik,19,17,16,11,0,0,SJ
HauntedFamily,Royalty,10,16,10,16,0,0,Royalty
Demise,Darkside,16,10,16,12,0,0,Demise
SJ,adwokacik,16,14,16,11,0,0,SJ
Espada,SKADE,12,16,12,16,0,0,SKADE
JiJieHao,EHOME,14,16,16,11,6,16,EHOME
BL4ZE,Umumba,7,16,16,19,0,0,Umumba
Syntax,BTRG,19,15,14,16,11,16,BTRG
Invictus,Lynn Vision,16,12,16,13,0,0,Invictus
Chiefs,Ground Zero,16,3,19,16,0,0,Chiefs
TYLOO,5POWER,12,16,16,13,13,16,5POWER
VICTIM,BOOM,9,16,4,16,0,0,BOOM
ORDER,AVANT,7,16,16,12,16,11,ORDER
OpTic,Astralis,6,16,7,16,0,0,Astralis
adwokacik,Nemiga,10,16,16,13,14,16,Nemiga
ENCE,G2,17,19,16,11,11,16,G2
Lyngby Vikings,Nordavind,16,8,12,16,4,16,Nordavind
HAVU,Espada,16,12,16,6,0,0,HAVU
Aristocracy,GamerLegion,16,13,16,10,0,0,Aristocracy
Astralis,Evil Geniuses,14,16,12,16,0,0,Evil Geniuses
OpTic,FaZe,16,11,16,8,0,0,OpTic
HAVU,PACT,16,9,16,13,0,0,HAVU
OneThree,adwokacik,16,5,12,16,16,5,OneThree
GamerLegion,Nemiga,22,18,16,7,0,0,GamerLegion
Nordavind,Heretics,14,16,16,6,16,8,Nordavind
Lynn Vision,BTRG,16,3,16,6,0,0,Lynn Vision
Copenhagen Flames,SJ,16,11,8,16,7,16,SJ
AUGUST,EHOME,14,16,17,19,0,0,EHOME
5POWER,JiJieHao,16,7,16,3,0,0,5POWER
TYLOO,Invictus,16,9,16,11,0,0,TYLOO
Liquid,G2,16,3,17,19,16,8,Liquid
eUnited,ENCE,12,16,10,16,0,0,ENCE
SJ,HAVU,13,16,10,16,0,0,HAVU
FaZe,Evil Geniuses,12,16,6,16,0,0,Evil Geniuses
SMASH,Illuminar,16,10,12,16,16,5,SMASH
AGF,Copenhagen Flames,11,16,16,14,5,16,Copenhagen Flames
Astralis,OpTic,16,14,16,1,0,0,Astralis
HAVU,Nemiga,12,16,16,10,16,11,HAVU
SKADE,Se7en,8,16,16,10,6,16,Se7en
adwokacik,Aristocracy,13,16,6,16,0,0,Aristocracy
G2,ENCE,19,17,16,14,0,0,G2
Illuminar,GamerLegion,16,19,16,13,10,16,GamerLegion
Liquid,eUnited,16,12,16,3,0,0,Liquid
Copenhagen Flames,Nemiga,14,16,16,8,14,16,Nemiga
Heretics,Espada,17,19,9,16,0,0,Espada
5orgless,NASR,10,16,13,16,0,0,NASR
Movistar Riders,SMASH,12,16,17,19,0,0,SMASH
Unique,Japaleno,16,6,19,17,0,0,Unique
adwokacik,SJ,16,13,16,19,16,7,adwokacik
BTRG,JiJieHao,8,16,10,16,0,0,JiJieHao
Shidiots,Ground Zero,7,16,10,16,0,0,Ground Zero
Genuine,Corvidae,16,12,16,7,0,0,Genuine
5POWER,Lynn Vision,16,3,16,8,0,0,5POWER
EHOME,Invictus,6,16,13,16,0,0,Invictus
TYLOO,AUGUST,16,14,16,14,0,0,TYLOO
STEP,Copenhagen Flames,16,10,5,16,16,19,Copenhagen Flames
HAVU,SJ,16,11,14,16,15,19,SJ
Espada,Se7en,19,17,2,16,10,16,Se7en
MAD Lions,Movistar Riders,3,16,13,16,0,0,Movistar Riders
Nemiga,PACT,16,7,16,12,0,0,Nemiga
Nordavind,Syman,13,16,16,3,11,16,Syman
Maknitude,AGF,5,16,9,16,0,0,AGF
Illuminar,SMASH,16,14,16,9,0,0,Illuminar
OneThree,Copenhagen Flames,16,10,5,16,16,14,OneThree
SKADE,Heretics,16,14,16,12,0,0,SKADE
Movistar Riders,GamerLegion,3,16,19,17,10,16,GamerLegion
ex-Epsilon,SMASH,16,10,12,16,8,16,SMASH
Heretics,SKADE,11,16,13,16,0,0,SKADE
BOOT,Invictus,9,16,8,16,0,0,Invictus
Invictus,Bren,16,13,19,16,0,0,Invictus
hREDS,PACT,16,8,13,16,11,16,PACT
Heretics,einheit,14,16,16,14,16,8,Heretics
Nemiga,Windigo,12,16,16,11,16,5,Nemiga
Heroic,SMASH,16,8,16,14,0,0,Heroic
Unique,AGO,16,12,16,14,0,0,Unique
Spirit,SMASH,10,16,19,17,14,16,SMASH
Aristocracy,PACT,16,12,16,2,0,0,Aristocracy
Mazaalai,Bren,5,16,6,16,0,0,Bren
Invictus,Lucid Dream,16,2,14,16,16,10,Invictus
TYLOO,BOOT,19,17,16,9,0,0,TYLOO
Alpha Red,Bren,9,16,16,12,10,16,Bren
Invictus,BOOT,5,16,11,16,0,0,BOOT
Mazaalai,TYLOO,9,16,9,16,0,0,TYLOO
Invictus,Bren,9,16,16,13,16,8,Invictus
Alpha Red,BOOT,7,16,16,5,14,16,BOOT
TYLOO,Lucid Dream,16,12,16,6,0,0,TYLOO
pro100,Windigo,16,12,12,16,12,16,Windigo
Heretics,Nemiga,7,16,13,16,0,0,Nemiga
OneWay,Phoenix,6,16,6,16,0,0,Phoenix
Lyngby Vikings,Illuminar,16,6,16,14,0,0,Lyngby Vikings
GamerLegion,Windigo,17,19,10,16,0,0,Windigo
Nemiga,SJ,6,16,12,16,0,0,SJ
SJ,Copenhagen Flames,16,6,25,23,0,0,SJ
BOOT,Mazaalai,16,5,16,4,0,0,BOOT
Invictus,TYLOO,16,11,16,11,0,0,Invictus
5POWER,TYLOO,15,19,19,16,8,16,TYLOO
Ignis,Absolute,11,16,9,16,0,0,Absolute
PACT,HAVU,12,16,12,16,0,0,HAVU
Syman,SMASH,18,22,8,16,0,0,SMASH
Virtus.pro,Tricked,16,12,10,16,11,16,Tricked
HAVU,GamerLegion,16,7,12,16,16,12,HAVU
hREDS,LDLC,16,11,16,14,0,0,hREDS
Spirit,Windigo,9,16,5,16,0,0,Windigo
Aimhaus,Wolsung,16,7,8,16,14,16,Wolsung
Global,Entity,16,12,6,16,6,16,Entity
NALANE,AOAO,1,0,22,20,0,0,NALANE
BIG,OpTic,16,13,16,6,0,0,BIG
MIBR,Tricked,14,16,13,16,0,0,Tricked
Alpha Red,Lucid Dream,16,14,14,16,7,16,Lucid Dream
GamerLegion,ex-Epsilon,16,5,16,1,0,0,GamerLegion
Energy,Big 5,11,16,16,13,19,16,Energy
Heretics,HAVU,6,16,13,16,0,0,HAVU
Bren,Fallen5,16,6,13,16,20,22,Fallen5
Wolsung,LITVA,19,16,16,14,0,0,Wolsung
Movistar Riders,Nordavind,13,16,16,13,9,16,Nordavind
Aimhaus,coluant,16,6,16,4,0,0,Aimhaus
ex-Epsilon,Japaleno,14,16,16,13,16,12,ex-Epsilon
Windigo,SMASH,6,16,16,10,16,10,Windigo
Mazaalai,FrostFire,16,12,16,8,0,0,Mazaalai
Xtreme 5,Entity,16,13,13,16,6,16,Entity
BOOT,nomercy,16,3,16,3,0,0,BOOT
HAVU,pro100,7,16,16,7,16,7,HAVU
Heretics,Demise,19,16,16,14,0,0,Heretics
Invictus,ViCi,16,13,9,16,6,16,ViCi
TYLOO,EHOME,13,16,16,10,16,9,TYLOO
mousesports,Virtus.pro,3,16,14,16,0,0,Virtus.pro
Beyond,Lucid Dream,6,16,22,20,11,16,Lucid Dream
GamerLegion,pharsyde,16,2,16,4,0,0,GamerLegion
5POWER,JiJieHao,16,9,16,12,0,0,5POWER
Big 5,Sinister5,16,8,19,16,0,0,Big 5
Goliath,Energy,12,16,8,16,0,0,Energy
AVANT,ORDER,12,16,16,6,16,4,AVANT
Global,5orgless,16,13,13,16,16,6,Global
DivisionX,SHIFT,16,5,8,16,12,16,SHIFT
Absolute,Updraft,16,3,16,7,0,0,Absolute
TYLOO,Invictus,14,16,17,19,0,0,Invictus
5POWER,ViCi,13,16,8,16,0,0,ViCi
EHOME,Predator,16,12,16,5,0,0,EHOME
Xwar,JiJieHao,3,16,10,16,0,0,JiJieHao
Genuine,ORDER,14,16,16,10,12,16,ORDER
Alpha Red,Maple,16,13,16,4,0,0,Alpha Red
Ignis,SCARZ,16,5,16,6,0,0,Ignis
Ground Zero,AVANT,13,16,16,14,12,16,AVANT
JiJieHao,Invictus,12,16,13,16,0,0,Invictus
EHOME,5POWER,7,16,13,16,0,0,5POWER
TYLOO,Xwar,16,2,16,1,0,0,TYLOO
ORDER,madlikewizards,14,16,16,12,16,8,ORDER
Genuine,Paradox,16,14,16,4,0,0,Genuine
AVANT,PC419,16,6,16,9,0,0,AVANT
SJ,LDLC,16,9,16,5,0,0,SJ
Tricked,adwokacik,16,5,14,16,16,7,Tricked
Syman,Spirit,9,16,2,16,0,0,Spirit
Illuminar,Aristocracy,16,10,12,16,16,13,Illuminar
Nemiga,hREDS,16,14,19,17,0,0,Nemiga
GamerLegion,forZe,16,0,16,9,0,0,GamerLegion
HAVU,SJ,16,13,16,14,0,0,HAVU
FrostFire,AnimeAye,9,16,16,8,16,12,FrostFire
Energy,Good,16,9,16,9,0,0,Energy
Mazaalai,Tommy And Friends,19,17,16,11,0,0,Mazaalai
Virtus.pro,NIP,16,9,16,14,0,0,Virtus.pro
Invictus,5POWER,12,16,16,4,16,11,Invictus
AUGUST,BOOT,7,16,11,16,0,0,BOOT
Lucid Dream,FirstTime,16,5,16,6,0,0,Lucid Dream
Heroic,forZe,19,17,22,18,0,0,Heroic
Goliath,Exdee,16,13,19,16,0,0,Goliath
Sprout,FURIA,9,16,16,8,16,13,Sprout
SBC,SHIFT.WHITE,13,16,16,14,16,14,SBC
Nemiga,Syman,12,16,16,12,12,16,Syman
Beyond,DREAMSELLER,16,1,16,5,0,0,Beyond
Sinister5,White Rabbit,14,16,16,14,16,13,Sinister5
Big 5,Omnius,16,7,16,5,0,0,Big 5
SHIFT.WHITE,SHIFT,13,16,1,16,0,0,SHIFT
Maple,2Be Continued,16,5,16,7,0,0,Maple
Bren,ArkAngel,16,10,16,7,0,0,Bren
DivisionX,SBC,16,14,8,16,16,5,DivisionX
Alpha Red,Astro,16,10,16,10,0,0,Alpha Red
Fallen5,CYBERIA,16,4,16,14,0,0,Fallen5
HAVU,Windigo,10,16,16,6,16,2,HAVU
FURIA,BIG,16,9,16,13,0,0,FURIA
DreamEaters,Aristocracy,4,16,9,16,0,0,Aristocracy
forZe,mousesports,15,19,10,16,0,0,mousesports
GamerLegion,Heretics,9,16,16,12,16,7,GamerLegion
Syman,Aristocracy,12,16,16,6,17,19,Aristocracy
BIG,AGO,28,25,16,12,0,0,BIG
mousesports,Heroic,16,13,16,10,0,0,mousesports
forZe,Heretics,16,4,16,12,0,0,forZe
G2,forZe,8,16,16,13,14,16,forZe
Heroic,GamerLegion,19,15,16,14,0,0,Heroic
adwokacik,Bpro,8,16,5,16,0,0,Bpro
Invictus,wNv,16,8,16,12,0,0,Invictus
Sharks,NRG,10,16,5,16,0,0,NRG
GamerLegion,Heroic,9,16,19,22,0,0,Heroic
AVANGAR,forZe,16,9,14,16,16,3,AVANGAR
GAMERZONE,adwokacik,9,16,12,16,0,0,adwokacik
DreamEaters,Gambit Youngsters,16,6,16,12,0,0,DreamEaters
forZe,ex-Epsilon,16,11,5,16,16,2,forZe
MIBR,NIP,22,20,16,6,0,0,MIBR
Heretics,Nordavind,11,16,7,16,0,0,Nordavind
BOOT,Bren,16,8,14,16,5,16,Bren
Lucid Dream,Mazaalai,16,14,16,8,0,0,Lucid Dream
Virtus.pro,E-RIVALS,16,7,16,14,0,0,Virtus.pro
Ground Zero,TRIDENT,16,9,16,8,0,0,Ground Zero
Japaleno,Se7en,11,16,10,16,0,0,Se7en
NIP,adwokacik,19,16,16,3,0,0,NIP
SYF,Corvidae,12,16,10,16,0,0,Corvidae
NRG,Cloud9,16,9,16,13,0,0,NRG
Tricked,mousesports,10,16,16,14,20,22,mousesports
Movistar Riders,OpTic,8,16,5,16,0,0,OpTic
x6tence,einheit,17,19,16,6,17,19,einheit
forZe,Japaleno,13,16,16,8,16,8,forZe
Heroic,One More Time,16,4,16,12,0,0,Heroic
OpTic,DreamEaters,12,16,6,16,0,0,DreamEaters
MIBR,GAMERZONE,12,16,16,11,16,9,MIBR
Queso,MAD Lions,9,16,12,16,0,0,MAD Lions
OpTic,ex-Epsilon,16,2,11,16,9,16,ex-Epsilon
Sprout,Movistar Riders,13,16,16,14,4,16,Movistar Riders
Illuminar,Copenhagen Flames,16,14,14,16,9,16,Copenhagen Flames
mousesports,E-RIVALS,16,8,16,13,0,0,mousesports
DreamEaters,Movistar Riders,16,14,19,15,0,0,DreamEaters
Heretics,SMASH,6,16,16,8,10,16,SMASH
JiJieHao,EHOME,16,19,10,16,0,0,EHOME
Virtus.pro,Tricked,14,16,8,16,0,0,Tricked
Jade,madlikewizards,12,16,10,16,0,0,madlikewizards
Liquid,Sharks,13,16,14,16,0,0,Sharks
Giants,Movistar Riders,15,19,19,22,0,0,Movistar Riders
AVANGAR,fnatic,16,14,6,16,16,13,AVANGAR
DETONA,W7M,9,16,11,16,0,0,W7M
GamerLegion,G2,16,14,11,16,20,22,G2
OpTic,Sprout,16,8,16,10,0,0,OpTic
Heretics,VodkaJuniors,16,12,7,16,16,8,Heretics
Gambit Youngsters,Illuminar,19,16,16,9,0,0,Gambit Youngsters
SJ,Lyngby Vikings,14,16,16,8,16,9,SJ
JiJieHao,5POWER,22,20,17,19,19,15,JiJieHao
Lynn Vision,EHOME,16,10,8,16,14,16,EHOME
AVANGAR,Illuminar,9,16,13,16,0,0,Illuminar
